document_number;alert;transaction;operation
2000000000;150;1428;3
2000000001;112;1217;4
2000000002;158;1728;1
2000000003;144;1967;5
2000000004;156;1947;3
2000000005;133;1907;2
2000000006;181;1433;4
2000000007;138;1703;0
2000000008;186;1390;3
2000000009;159;1987;0
2000000010;193;1938;5
2000000011;141;1682;0
2000000012;158;1451;4
2000000013;137;1635;3
2000000014;146;1719;2
2000000015;134;1435;0
2000000016;123;1724;5
2000000017;111;1059;1
2000000018;153;1834;5
2000000019;138;1045;0
2000000020;156;1755;5
2000000021;162;1363;0
2000000022;106;1439;1
2000000023;137;1592;1
2000000024;172;1328;5
2000000025;189;1006;0
2000000026;123;1929;1
2000000027;135;1060;4
2000000028;182;1651;3
2000000029;114;1590;2
2000000030;144;1452;4
2000000031;185;1500;3
2000000032;187;1550;2
2000000033;138;1190;3
2000000034;159;1233;3
2000000035;110;1528;2
2000000036;155;1243;4
2000000037;191;1579;2
2000000038;100;1900;3
2000000039;189;1204;1
2000000040;145;1656;0
2000000041;179;1479;1
2000000042;177;1021;5
2000000043;183;1852;2
2000000044;117;1789;4
2000000045;166;1470;4
2000000046;132;1112;4
2000000047;105;1741;3
2000000048;186;1849;4
2000000049;146;1279;5
2000000050;125;1481;1
2000000051;190;1657;0
2000000052;110;1322;0
2000000053;177;1269;4
2000000054;154;1633;3
2000000055;188;1045;4
2000000056;198;1026;4
2000000057;186;1317;0
2000000058;161;1001;0
2000000059;190;1696;3
2000000060;172;1340;4
2000000061;138;1645;3
2000000062;157;1727;0
2000000063;151;1775;2
2000000064;137;1954;1
2000000065;127;1748;3
2000000066;161;1374;5
2000000067;171;1694;0
2000000068;106;1114;1
2000000069;100;1798;0
2000000070;149;1796;4
2000000071;117;1365;4
2000000072;180;1582;2
2000000073;143;1089;1
2000000074;111;1125;3
2000000075;170;1657;4
2000000076;172;1012;2
2000000077;114;1482;3
2000000078;103;1372;0
2000000079;172;1093;2
2000000080;119;1392;5
2000000081;168;1679;2
2000000082;106;1176;2
2000000083;195;1118;4
2000000084;198;1225;3
2000000085;165;1211;5
2000000086;193;1627;0
2000000087;189;1213;5
2000000088;185;1516;0
2000000089;170;1008;2
2000000090;189;1368;4
2000000091;195;1312;3
2000000092;118;1857;0
2000000093;168;1693;5
2000000094;102;1413;0
2000000095;102;1144;2
2000000096;161;1981;4
2000000097;117;1449;2
2000000098;103;1851;4
2000000099;198;1937;4
2000000100;159;1956;4
2000000101;187;1499;1
2000000102;164;1459;1
2000000103;165;1997;5
2000000104;123;1664;1
2000000105;154;1038;3
2000000106;126;1177;1
2000000107;174;1937;1
2000000108;198;1526;0
2000000109;166;1285;2
2000000110;196;1199;3
2000000111;124;1553;5
2000000112;124;1773;0
2000000113;156;1700;5
2000000114;105;1294;3
2000000115;151;1576;4
2000000116;128;1055;0
2000000117;103;1457;5
2000000118;115;1175;4
2000000119;112;1402;1
2000000120;193;1167;4
2000000121;172;1851;0
2000000122;163;1300;2
2000000123;173;1093;5
2000000124;188;1555;1
2000000125;187;1430;4
2000000126;159;1780;4
2000000127;147;1079;0
2000000128;159;1612;2
2000000129;143;1271;4
2000000130;157;1487;4
2000000131;153;1752;2
2000000132;116;1165;5
2000000133;144;1730;4
2000000134;140;1979;2
2000000135;132;1670;3
2000000136;126;1308;4
2000000137;100;1687;3
2000000138;181;1437;2
2000000139;190;1750;2
2000000140;146;1958;4
2000000141;111;1451;4
2000000142;144;1988;4
2000000143;101;1313;4
2000000144;138;1492;0
2000000145;144;1052;3
2000000146;165;1416;1
2000000147;111;1107;4
2000000148;125;1489;5
2000000149;162;1789;1
2000000150;126;1326;5
2000000151;161;1919;3
2000000152;107;1299;2
2000000153;131;1654;2
2000000154;175;1132;1
2000000155;171;1363;3
2000000156;145;1127;3
2000000157;136;1213;0
2000000158;158;1434;0
2000000159;178;1891;2
2000000160;168;1720;3
2000000161;128;1265;4
2000000162;196;1630;2
2000000163;171;1486;3
2000000164;130;1080;5
2000000165;149;1402;4
2000000166;123;1851;3
2000000167;188;1565;5
2000000168;196;1454;0
2000000169;123;1240;0
2000000170;182;1794;4
2000000171;114;1332;1
2000000172;163;1974;5
2000000173;128;1350;5
2000000174;131;1031;1
2000000175;106;1624;3
2000000176;111;1247;2
2000000177;183;1212;1
2000000178;135;1803;0
2000000179;140;1183;2
2000000180;175;1350;5
2000000181;131;1808;2
2000000182;134;1729;4
2000000183;179;1689;5
2000000184;146;1487;3
2000000185;117;1384;3
2000000186;195;1071;3
2000000187;174;1403;1
2000000188;144;1642;0
2000000189;109;1244;5
2000000190;149;1639;2
2000000191;120;1833;1
2000000192;124;1094;0
2000000193;143;1116;0
2000000194;123;1790;4
2000000195;163;1177;3
2000000196;194;1003;4
2000000197;177;1110;0
2000000198;116;1533;1
2000000199;132;1169;5
2000000200;125;1696;1
2000000201;150;1600;5
2000000202;174;1258;2
2000000203;127;1162;2
2000000204;193;1099;2
2000000205;111;1971;2
2000000206;156;1754;1
2000000207;139;1890;4
2000000208;129;1113;0
2000000209;186;1342;2
2000000210;143;1844;1
2000000211;183;1581;1
2000000212;157;1997;2
2000000213;192;1050;4
2000000214;184;1470;2
2000000215;104;1202;0
2000000216;182;1034;2
2000000217;107;1890;0
2000000218;120;1673;4
2000000219;171;1062;2
2000000220;122;1842;3
2000000221;129;1412;2
2000000222;160;1325;4
2000000223;151;1339;2
2000000224;168;1795;3
2000000225;197;1106;5
2000000226;143;1733;2
2000000227;103;1666;1
2000000228;159;1811;2
2000000229;114;1547;0
2000000230;183;1462;1
2000000231;180;1529;4
2000000232;163;1030;0
2000000233;121;1248;2
2000000234;196;1354;4
2000000235;139;1373;2
2000000236;104;1540;1
2000000237;121;1791;4
2000000238;189;1841;4
2000000239;126;1553;4
2000000240;156;1626;0
2000000241;138;1318;4
2000000242;140;1430;2
2000000243;158;1762;5
2000000244;122;1276;3
2000000245;111;1358;4
2000000246;186;1912;3
2000000247;164;1878;5
2000000248;175;1036;0
2000000249;128;1919;2
2000000250;121;1083;3
2000000251;105;1116;5
2000000252;158;1123;5
2000000253;162;1620;0
2000000254;141;1348;5
2000000255;183;1574;3
2000000256;125;1527;4
2000000257;169;1779;1
2000000258;174;1513;3
2000000259;192;1393;0
2000000260;117;1131;2
2000000261;142;1087;1
2000000262;157;1207;1
2000000263;184;1424;1
2000000264;136;1367;2
2000000265;154;1401;1
2000000266;173;1457;4
2000000267;189;1810;4
2000000268;169;1907;3
2000000269;189;1849;4
2000000270;190;1577;4
2000000271;123;1391;4
2000000272;153;1404;0
2000000273;192;1432;2
2000000274;147;1145;1
2000000275;129;1663;2
2000000276;149;1411;2
2000000277;165;1167;4
2000000278;106;1667;0
2000000279;106;1653;4
2000000280;158;1355;0
2000000281;186;1219;0
2000000282;177;1769;2
2000000283;109;1859;0
2000000284;106;1539;3
2000000285;179;1110;5
