document_number;alert;transaction;retrieve
2000000000;150;;true
2000000001;112;;true
2000000002;158;;true
2000000003;144;;true
2000000004;156;;true
2000000005;;1907;false
2000000006;;1433;false
2000000007;138;;true
2000000008;186;;true
2000000009;;1987;false
2000000010;;1938;false
2000000011;;1682;false
2000000012;158;;true
2000000013;;1635;false
2000000014;146;;true
2000000015;134;;true
2000000016;;1724;false
2000000017;;1059;false
2000000018;;1834;false
2000000019;138;;true
2000000020;156;;true
2000000021;162;;true
2000000022;106;;true
2000000023;;1592;false
2000000024;172;;true
2000000025;;1006;false
2000000026;;1929;false
2000000027;;1060;false
2000000028;182;;true
2000000029;114;;true
2000000030;144;;true
2000000031;;1500;false
2000000032;;1550;false
2000000033;138;;true
2000000034;;1233;false
2000000035;110;;true
2000000036;;1243;false
2000000037;;1579;false
2000000038;100;;true
2000000039;;1204;false
2000000040;;1656;false
2000000041;;1479;false
2000000042;;1021;false
2000000043;;1852;false
2000000044;;1789;false
2000000045;166;;true
2000000046;132;;true
2000000047;;1741;false
2000000048;186;;true
2000000049;146;;true
2000000050;;1481;false
2000000051;190;;true
2000000052;110;;true
2000000053;;1269;false
2000000054;154;;true
2000000055;188;;true
2000000056;198;;true
2000000057;186;;true
2000000058;;1001;false
2000000059;190;;true
2000000060;172;;true
2000000061;138;;true
2000000062;;1727;false
2000000063;;1775;false
2000000064;;1954;false
2000000065;;1748;false
2000000066;;1374;false
2000000067;;1694;false
2000000068;106;;true
2000000069;100;;true
2000000070;;1796;false
2000000071;;1365;false
2000000072;180;;true
2000000073;;1089;false
2000000074;;1125;false
2000000075;170;;true
2000000076;172;;true
2000000077;114;;true
2000000078;;1372;false
2000000079;172;;true
2000000080;;1392;false
2000000081;168;;true
2000000082;106;;true
2000000083;;1118;false
2000000084;198;;true
2000000085;;1211;false
2000000086;;1627;false
2000000087;;1213;false
2000000088;;1516;false
2000000089;170;;true
2000000090;;1368;false
2000000091;;1312;false
2000000092;118;;true
2000000093;168;;true
2000000094;102;;true
2000000095;102;;true
2000000096;;1981;false
2000000097;;1449;false
2000000098;;1851;false
2000000099;198;;true
2000000100;;1956;false
2000000101;;1499;false
2000000102;164;;true
2000000103;;1997;false
2000000104;;1664;false
2000000105;154;;true
2000000106;126;;true
2000000107;174;;true
2000000108;198;;true
2000000109;166;;true
2000000110;196;;true
2000000111;124;;true
2000000112;124;;true
2000000113;156;;true
2000000114;;1294;false
2000000115;;1576;false
2000000116;128;;true
2000000117;;1457;false
2000000118;;1175;false
2000000119;112;;true
2000000120;;1167;false
2000000121;172;;true
2000000122;;1300;false
2000000123;;1093;false
2000000124;188;;true
2000000125;;1430;false
2000000126;;1780;false
2000000127;;1079;false
2000000128;;1612;false
2000000129;;1271;false
2000000130;;1487;false
2000000131;;1752;false
2000000132;116;;true
2000000133;144;;true
2000000134;140;;true
2000000135;132;;true
2000000136;126;;true
2000000137;100;;true
2000000138;;1437;false
2000000139;190;;true
2000000140;146;;true
2000000141;;1451;false
2000000142;144;;true
2000000143;;1313;false
2000000144;138;;true
2000000145;144;;true
2000000146;;1416;false
2000000147;;1107;false
2000000148;;1489;false
2000000149;162;;true
2000000150;126;;true
2000000151;;1919;false
2000000152;;1299;false
2000000153;;1654;false
2000000154;;1132;false
2000000155;;1363;false
2000000156;;1127;false
2000000157;136;;true
2000000158;158;;true
2000000159;178;;true
2000000160;168;;true
2000000161;128;;true
2000000162;196;;true
2000000163;;1486;false
2000000164;130;;true
2000000165;;1402;false
2000000166;;1851;false
2000000167;188;;true
2000000168;196;;true
2000000169;;1240;false
2000000170;182;;true
2000000171;114;;true
2000000172;;1974;false
2000000173;128;;true
2000000174;;1031;false
2000000175;106;;true
2000000176;;1247;false
2000000177;;1212;false
2000000178;;1803;false
2000000179;140;;true
2000000180;;1350;false
2000000181;;1808;false
2000000182;134;;true
2000000183;;1689;false
2000000184;146;;true
2000000185;;1384;false
2000000186;;1071;false
2000000187;174;;true
2000000188;144;;true
2000000189;;1244;false
2000000190;;1639;false
2000000191;120;;true
2000000192;124;;true
2000000193;;1116;false
2000000194;;1790;false
2000000195;;1177;false
2000000196;194;;true
2000000197;;1110;false
2000000198;116;;true
2000000199;132;;true
2000000200;;1696;false
2000000201;150;;true
2000000202;174;;true
2000000203;;1162;false
2000000204;;1099;false
2000000205;;1971;false
2000000206;156;;true
2000000207;;1890;false
2000000208;;1113;false
2000000209;186;;true
2000000210;;1844;false
2000000211;;1581;false
2000000212;;1997;false
2000000213;192;;true
2000000214;184;;true
2000000215;104;;true
2000000216;182;;true
2000000217;;1890;false
2000000218;120;;true
2000000219;;1062;false
2000000220;122;;true
2000000221;;1412;false
2000000222;160;;true
2000000223;;1339;false
2000000224;168;;true
2000000225;;1106;false
2000000226;;1733;false
2000000227;;1666;false
2000000228;;1811;false
2000000229;114;;true
2000000230;;1462;false
2000000231;180;;true
2000000232;;1030;false
2000000233;;1248;false
2000000234;196;;true
2000000235;;1373;false
2000000236;104;;true
2000000237;;1791;false
2000000238;;1841;false
2000000239;126;;true
2000000240;156;;true
2000000241;138;;true
2000000242;140;;true
2000000243;158;;true
2000000244;122;;true
2000000245;;1358;false
2000000246;186;;true
2000000247;164;;true
2000000248;;1036;false
2000000249;128;;true
2000000250;;1083;false
2000000251;;1116;false
2000000252;158;;true
2000000253;162;;true
2000000254;;1348;false
2000000255;;1574;false
2000000256;;1527;false
2000000257;;1779;false
2000000258;174;;true
2000000259;192;;true
2000000260;;1131;false
2000000261;142;;true
2000000262;;1207;false
2000000263;184;;true
2000000264;136;;true
2000000265;154;;true
2000000266;;1457;false
2000000267;;1810;false
2000000268;;1907;false
2000000269;;1849;false
2000000270;190;;true
2000000271;;1391;false
2000000272;;1404;false
2000000273;192;;true
2000000274;;1145;false
2000000275;;1663;false
2000000276;;1411;false
2000000277;;1167;false
2000000278;106;;true
2000000279;106;;true
2000000280;158;;true
2000000281;186;;true
2000000282;;1769;false
2000000283;;1859;false
2000000284;106;;true
2000000285;;1110;false
2000000286;150;;true
2000000287;112;;true
2000000288;;1281;false
2000000289;;1714;false
2000000290;;1667;false
2000000291;160;;true
2000000292;132;;true
2000000293;178;;true
2000000294;178;;true
2000000295;186;;true
2000000296;108;;true
2000000297;190;;true
2000000298;;1860;false
2000000299;158;;true
2000000300;;1401;false
2000000301;;1887;false
2000000302;;1039;false
2000000303;;1650;false
2000000304;;1326;false
2000000305;;1841;false
2000000306;142;;true
2000000307;;1381;false
2000000308;196;;true
2000000309;;1807;false
2000000310;;1931;false
2000000311;;1328;false
2000000312;;1526;false
2000000313;;1895;false
2000000314;104;;true
2000000315;128;;true
2000000316;194;;true
2000000317;102;;true
2000000318;;1161;false
2000000319;112;;true
2000000320;;1422;false
2000000321;138;;true
2000000322;170;;true
2000000323;;1217;false
2000000324;;1456;false
2000000325;;1139;false
2000000326;104;;true
2000000327;;1417;false
2000000328;120;;true
2000000329;;1332;false
2000000330;174;;true
2000000331;;1034;false
2000000332;;1640;false
2000000333;;1069;false
2000000334;158;;true
2000000335;;1711;false
2000000336;;1590;false
2000000337;142;;true
2000000338;168;;true
2000000339;142;;true
2000000340;114;;true
2000000341;;1997;false
2000000342;100;;true
2000000343;;1347;false
2000000344;;1112;false
2000000345;112;;true
2000000346;132;;true
2000000347;148;;true
2000000348;166;;true
2000000349;;1091;false
2000000350;;1749;false
2000000351;;1979;false
2000000352;;1247;false
2000000353;;1400;false
2000000354;;1046;false
2000000355;;1082;false
2000000356;;1104;false
2000000357;108;;true
2000000358;134;;true
2000000359;;1741;false
2000000360;134;;true
2000000361;120;;true
2000000362;;1857;false
2000000363;;1584;false
2000000364;130;;true
2000000365;146;;true
2000000366;;1848;false
2000000367;130;;true
2000000368;;1581;false
2000000369;;1301;false
2000000370;168;;true
2000000371;;1520;false
2000000372;170;;true
2000000373;;1502;false
2000000374;;1182;false
2000000375;152;;true
2000000376;;1898;false
2000000377;150;;true
2000000378;;1565;false
2000000379;;1045;false
2000000380;138;;true
2000000381;;1626;false
2000000382;;1497;false
2000000383;;1661;false
2000000384;190;;true
2000000385;166;;true
2000000386;;1903;false
2000000387;;1124;false
2000000388;;1814;false
2000000389;156;;true
2000000390;192;;true
2000000391;;1508;false
2000000392;;1051;false
2000000393;;1454;false
2000000394;;1309;false
2000000395;158;;true
2000000396;186;;true
2000000397;122;;true
2000000398;;1625;false
2000000399;;1985;false
2000000400;;1252;false
2000000401;174;;true
2000000402;100;;true
2000000403;106;;true
2000000404;140;;true
2000000405;194;;true
2000000406;;1453;false
2000000407;152;;true
2000000408;;1155;false
2000000409;106;;true
2000000410;132;;true
2000000411;148;;true
2000000412;122;;true
2000000413;;1873;false
2000000414;122;;true
2000000415;180;;true
2000000416;144;;true
2000000417;;1365;false
2000000418;;1545;false
2000000419;116;;true
2000000420;;1483;false
2000000421;100;;true
2000000422;;1011;false
2000000423;;1309;false
2000000424;;1695;false
2000000425;162;;true
2000000426;;1307;false
2000000427;156;;true
2000000428;132;;true
2000000429;;1511;false
2000000430;166;;true
2000000431;;1478;false
2000000432;;1491;false
2000000433;176;;true
2000000434;178;;true
2000000435;122;;true
2000000436;;1455;false
2000000437;;1835;false
2000000438;;1992;false
2000000439;;1791;false
2000000440;;1828;false
2000000441;116;;true
2000000442;;1417;false
2000000443;;1935;false
2000000444;;1928;false
2000000445;146;;true
2000000446;118;;true
2000000447;190;;true
2000000448;;1534;false
2000000449;;1302;false
2000000450;174;;true
2000000451;124;;true
2000000452;;1397;false
2000000453;;1715;false
2000000454;;1175;false
2000000455;;1854;false
2000000456;;1391;false
2000000457;170;;true
2000000458;110;;true
2000000459;172;;true
2000000460;182;;true
2000000461;110;;true
2000000462;114;;true
2000000463;;1131;false
2000000464;100;;true
2000000465;;1453;false
2000000466;162;;true
2000000467;;1991;false
2000000468;132;;true
2000000469;174;;true
2000000470;;1398;false
2000000471;;1555;false
2000000472;126;;true
2000000473;136;;true
2000000474;;1661;false
2000000475;192;;true
2000000476;186;;true
2000000477;;1548;false
2000000478;176;;true
2000000479;;1606;false
2000000480;160;;true
2000000481;146;;true
2000000482;130;;true
2000000483;;1111;false
2000000484;182;;true
2000000485;;1554;false
2000000486;;1290;false
2000000487;;1647;false
2000000488;182;;true
2000000489;;1560;false
2000000490;170;;true
2000000491;104;;true
2000000492;;1095;false
2000000493;146;;true
2000000494;152;;true
2000000495;132;;true
2000000496;188;;true
2000000497;;1788;false
2000000498;;1867;false
2000000499;;1585;false
2000000500;;1231;false
2000000501;;1843;false
2000000502;;1557;false
2000000503;;1638;false
2000000504;;1891;false
2000000505;162;;true
2000000506;166;;true
2000000507;184;;true
2000000508;180;;true
2000000509;;1711;false
2000000510;;1843;false
2000000511;;1545;false
2000000512;;1232;false
2000000513;;1208;false
2000000514;;1231;false
2000000515;166;;true
2000000516;180;;true
2000000517;160;;true
2000000518;118;;true
2000000519;104;;true
2000000520;132;;true
2000000521;172;;true
2000000522;;1795;false
2000000523;;1097;false
2000000524;110;;true
2000000525;;1997;false
2000000526;;1516;false
2000000527;174;;true
2000000528;146;;true
2000000529;;1754;false
2000000530;;1227;false
2000000531;;1679;false
2000000532;;1445;false
2000000533;;1769;false
2000000534;;1810;false
2000000535;124;;true
2000000536;;1984;false
2000000537;184;;true
2000000538;176;;true
2000000539;;1308;false
2000000540;192;;true
2000000541;162;;true
2000000542;;1922;false
2000000543;;1474;false
2000000544;154;;true
2000000545;170;;true
2000000546;136;;true
2000000547;142;;true
2000000548;;1383;false
2000000549;;1422;false
2000000550;;1066;false
2000000551;118;;true
2000000552;;1164;false
2000000553;;1242;false
2000000554;;1392;false
2000000555;182;;true
2000000556;178;;true
2000000557;;1853;false
2000000558;192;;true
2000000559;;1900;false
2000000560;188;;true
2000000561;160;;true
2000000562;;1276;false
2000000563;142;;true
2000000564;;1045;false
2000000565;150;;true
2000000566;156;;true
2000000567;132;;true
2000000568;;1363;false
2000000569;164;;true
2000000570;;1563;false
2000000571;128;;true
2000000572;174;;true
2000000573;112;;true
2000000574;100;;true
2000000575;112;;true
2000000576;;1941;false
2000000577;;1304;false
2000000578;;1834;false
2000000579;164;;true
2000000580;184;;true
2000000581;;1600;false
2000000582;;1320;false
2000000583;128;;true
2000000584;;1529;false
2000000585;;1723;false
2000000586;;1385;false
2000000587;182;;true
2000000588;160;;true
2000000589;;1694;false
2000000590;128;;true
2000000591;;1441;false
2000000592;;1218;false
2000000593;142;;true
2000000594;196;;true
2000000595;;1048;false
2000000596;106;;true
2000000597;;1221;false
2000000598;128;;true
2000000599;162;;true
2000000600;174;;true
2000000601;138;;true
2000000602;;1093;false
2000000603;100;;true
2000000604;118;;true
2000000605;142;;true
2000000606;178;;true
2000000607;160;;true
2000000608;100;;true
2000000609;;1053;false
2000000610;;1857;false
2000000611;164;;true
2000000612;108;;true
2000000613;;1951;false
2000000614;;1777;false
2000000615;140;;true
2000000616;122;;true
2000000617;190;;true
2000000618;;1482;false
2000000619;;1555;false
2000000620;188;;true
2000000621;146;;true
2000000622;;1654;false
2000000623;;1484;false
2000000624;138;;true
2000000625;;1648;false
2000000626;180;;true
2000000627;;1964;false
2000000628;;1488;false
2000000629;;1903;false
2000000630;166;;true
2000000631;166;;true
2000000632;160;;true
2000000633;132;;true
2000000634;124;;true
2000000635;172;;true
2000000636;;1352;false
2000000637;;1323;false
2000000638;144;;true
2000000639;146;;true
2000000640;186;;true
2000000641;184;;true
2000000642;160;;true
2000000643;126;;true
2000000644;152;;true
2000000645;;1825;false
2000000646;116;;true
2000000647;176;;true
2000000648;;1085;false
2000000649;;1069;false
2000000650;;1471;false
2000000651;;1049;false
2000000652;;1976;false
2000000653;;1675;false
2000000654;;1548;false
2000000655;;1777;false
2000000656;172;;true
2000000657;178;;true
2000000658;;1044;false
2000000659;152;;true
2000000660;;1861;false
2000000661;;1691;false
2000000662;172;;true
2000000663;124;;true
2000000664;;1347;false
2000000665;132;;true
2000000666;108;;true
2000000667;;1371;false
2000000668;160;;true
2000000669;196;;true
2000000670;;1855;false
2000000671;110;;true
2000000672;;1720;false
2000000673;196;;true
2000000674;;1166;false
2000000675;;1600;false
2000000676;;1488;false
2000000677;;1883;false
2000000678;106;;true
2000000679;;1783;false
2000000680;;1228;false
2000000681;108;;true
2000000682;146;;true
2000000683;;1604;false
2000000684;;1246;false
2000000685;158;;true
2000000686;;1200;false
2000000687;;1730;false
2000000688;138;;true
2000000689;;1434;false
